Image,Text
0,123456789
AHTD3A0001_Para1_3.jpg,طفنا وسعينا مع شيخ. كان جاري في الخيم يتكلم وهو نائم  بكلمات لا أفهمها
AHTD3A0005_Para1_1.jpg,ذهب نوح مظفر ضرغام بصح ب رؤوف بن لؤي رايق ظافر عطعوط وهلال خازن عفيف للحج
AHTD3A0005_Para1_2.jpg,بدأت قوافل الحجيج حاج اثر اخر يلبي. عند وصولنا  وسعينا مع شيخ. كان جاري في الخيم
AHTD3A0005_Para1_3.jpg,يتكلم وهو نائم  بكلمات لا أفهمها مثل انقض بغلس له الضابط لزمتك.   سألت
AHTD3A0047_Para1_1.jpg,ذهب نوح مظفر ضرغام بصحب رؤوف بن لؤي رايق ظافر عطعوط وهلال خازن عفيف للحج
AHTD3A0047_Para1_2.jpg,بدأت قوافل الحجيج حاج إثر آخر يلبي عند وصولنا ظفنا وسعينا مع شيخ كان جاري في الخيم
AHTD3A0047_Para1_3.jpg,يتكلم في الخيم يتكلم وهو نائم  بكلمات لا أفهمها مثل انقض بغلس له الضابط لزمتك سألت
AHTD3A0047_Para1_4.jpg,راجح هل بلغ أصحابنا ظ ع ك  ث خ ض ب س ش ص غ ه أننا في الحج. هل تعلم فائد
AHTD3A0047_Para1_5.jpg,الكلمات التالي لهذا النص مشمش دراق غيظ ناء   بث  نسر
AHTD3A0078_Para1_1.jpg,ذهب نوح مظفر ضرغام بصحب رؤوف بن لؤي رايق ظافر عطعوط
AHTD3A0078_Para1_2.jpg,وهلال خازن عفيف للحج .  بدأت قوافل الحجيج حاج إثر آخر يلبي.
AHTD3A0078_Para1_3.jpg,عند وصولنا طفنا وسعينا مع شيخ . كان جاري في الخيم يتكلم وهو نائم  بكلمات
AHTD3A0078_Para1_4.jpg,لا أفهمها مثل انقض بغلس له الضابط لزمتك .  سألت راجح هل بلغ
AHTD3A0078_Para1_5.jpg,أصحابنا ظ ع ك  ث خ ض ب س ش ص غ ه أننا في الحج . هل
AHTD3A0078_Para1_6.jpg,تعلم فائد الكلمات التالي لهذا النص: مشمش  دراق  غبظ  ناء
